Kana,Kanji,Type,Definition/s
せいちょう,生長,n,"growth,increment"
せいと,生徒,n,pupil
せいど,制度,n,"system,institution,organization"
せいとう,政党,n,(member of) political party
せいねん,青年,n,"youth,young man"
せいねんがっぴ,生年月日,n,birth date
せいのう,性能,n,"ability,efficiency"
せいび,整備,"n,vs","adjustment,completion,consolidation"
せいひん,製品,n,"manufactured goods,finished goods"
せいふ,政府,n,"government,administration"
せいぶつ,生物,n,raw food
せいぶん,成分,n,"ingredient,component,composition"
せいべつ,性別,n,"distinction by sex,sex,gender"
せいほうけい,正方形,n,square
せいめい,生命,n,"life,existence"
せいもん,正門,n,"main gate,main entrance"
せいよう,西洋,n,"the west,Western countries"
せいり,整理,"n,vs","sorting,arrangement,adjustment,regulation"
せいりつ,成立,"n,vs","coming into existence,arrangements,establishment,completion"
せいれき,西暦,n,"Christian Era,anno domini (A.D.)"
セーター,,n,"sweater,jumper"
せおう,背負う,v5u,"to be burdened with,to carry on back or shoulder"
せかい,世界,n,"the world,society,the universe"
せき,席,n,seat
せき,咳,n,cough
~せき,~隻,,
せきたん,石炭,n,coal
せきどう,赤道,n,equator
せきにん,責任,n,"duty,responsibility"
せきゆ,石油,n,"oil,petroleum,kerosene"
せけん,世間,n,"world,society"
せつ,説,"n,n-suf",theory
せっかく,折角,"adv,n","with trouble,at great pains,long-awaited"
せっきょくてき,積極的,adj-na,"positive,active,proactive"
せっきん,接近,"n,vs","getting closer,drawing nearer,approaching"
せっけい,設計,"n,vs","plan,design"
せっけん,石鹸,n,soap
せっする,接する,vs-s,"to come in contact with,to connect,to attend,to receive"
せっせと,,,
せつぞく,接続,"n,vs","(1) connection,union,join,link,(2) changing trains"
ぜったい,絶対,"adj-na,n-adv,n","absolute,unconditional,absoluteness"
セット,,n,set
せつび,設備,"n,vs","equipment,device,facilities,installation"
せつめい,説明,"n,vs","explanation,exposition"
ぜつめつ,絶滅,n,"destruction,extinction"
せつやく,節約,"n,vs","economising,saving"
せともの,瀬戸物,n,"earthenware,crockery,china"
せなか,背中,n,back (of body)
ぜひ,是非,"adv,n","certainly,without fail"
ぜひとも,,adv,"by all means (with sense of not taking ""no"" for an answer)"
せびろ,背広,n,business suit
せまい,狭い,adj,"narrow,confined,small"
せまる,迫る,v5r,"to draw near,to press"
ゼミ,,de:,(n) seminar
せめて,,n,"offense,method of attack"
せめる,攻める,v1,"to attack,to assault"
せめる,責める,v1,"to condemn,to blame,to criticize"
セメント,,n,cement
せりふ,台詞,n,"speech,words,one's lines,remarks"
ゼロ,,n,zero
せわ,世話,"n,vs","looking after,help,aid,assistance"
せん,千,,"thousand,many"
せん,栓,n,"stopper,cork,stopcock"
せん,線,"n,n-suf","line (also telephone, railway),wire,beam"
~せん,~船,,
~せん,~戦,,
ぜん,善,n,"good,goodness,right,virtue"
ぜん,全,"n,pref","all,whole,entire,complete,overall,pan"
ぜん~,前~,,
~ぜん,~前,,
ぜんいん,全員,"n-adv,n","all members (unanimity),all hands,the whole crew"
ぜんご,前後,"n-adv,suf","around,throughout,front and back,before and behind,before and after"
せんこう,専攻,"n,vs","major subject,special study"
ぜんこく,全国,n,"country-wide,nation-wide,whole country,national"
せんざい,洗剤,n,"detergent,washing material"
せんじつ,先日,"n-adv,n-t","the other day,a few days ago"
ぜんしゃ,前者,n,the former
せんしゅ,選手,n,"(1) player (in game),(2) team"
ぜんしゅう,全集,n,complete works
ぜんしん,全身,n,"the whole body,full-length (portrait)"
ぜんしん,前進,n,"advance,drive,progress"
せんす,扇子,n,folding fan
せんせい,先生,n,"teacher,master,doctor"
せんせい,専制,n,"despotism,autocracy"
ぜんぜん,全然,adv,"(1) wholly,entirely,completely,(2) not at all (with neg. verb)"
せんせんげつ,先々月,n-t,month before last
せんせんしゅう,先々週,,
せんぞ,先祖,n,ancestor
せんそう,戦争,"n,vs",war
センター,,n,a center
ぜんたい,全体,"n-adv,n-t","whole,entirety,whatever (is the matter)"
せんたく,洗濯,"n,vs","washing,laundry"
せんたく,選択,"n,vs","selection,choice"
せんたん,先端,n,"pointed end,tip,fine point"
センチ,,"adj-na,n","centimeter,centi-,10^-2"
せんでん,宣伝,"n,vs","propaganda,publicity"
せんとう,先頭,n,"head,lead,vanguard,first"
せんぱい,先輩,n,"senior (at work or school),superior,elder"
ぜんぱん,全般,"adj-no,n","(the) whole,universal,wholly,general"
ぜんぶ,全部,"n-adv,n-t","all,entire,whole,altogether"
せんぷうき,扇風機,n,electric fan
せんめん,洗面,"n,vs","wash up (one's face),have a wash"
せんもん,専門,n,"speciality,subject of study,expert"
ぜんりょく,全力,n,"all one's power,whole energy"
せんろ,線路,n,"line,track,roadbed"
~そい,~沿い,,
そう,そう,,so
そう~,総~,,
~そう,~艘,,
ぞう,象,n,elephant
そうい,相違,"n,vs","difference,discrepancy,variation"
そういえば,,exp,which reminds me ..
そうおん,騒音,n,noise
ぞうか,増加,"n,vs","increase,addition"
ぞうきん,雑巾,n,"house-cloth,dust cloth"
ぞうげん,増減,"n,vs","increase and decrease,fluctuation"
そうこ,倉庫,n,"storehouse,warehouse,godown"
そうご,相互,n,"mutual,reciprocal"
そうさ,操作,"n,vs","operation,management,processing"
そうさく,創作,n,"production,literary creation,work"
そうじ,掃除,"n,vs","cleaning,sweeping"
そうしき,葬式,n,funeral
そうして,,conj,"and,like that"
ぞうせん,造船,n,shipbuilding
そうぞう,想像,"n,vs","imagination,guess"
そうぞうしい,騒々しい,adj,"noisy,boisterous"
そうぞく,相続,n,"succession,inheritance"
ぞうだい,増大,"n,vs",enlargement
そうだん,相談,"n,vs","consultation,discussion"
そうち,装置,"n,vs","equipment,installation,apparatus"
そうっと,,,
そうとう,相当,"adj-na,n-adv","suitable,fair,tolerable,proper"
そうべつ,送別,n,"farewell,send-off"
ぞうり,草履,n,"zoori (Japanese footwear),sandals"
そうりだいじん,総理大臣,,Prime Minister
そうりょう,送料,n,"postage,carriage"
~そく,~足,,
ぞくする,属する,vs-s,"to belong to,to come under,to be affiliated with,to be subject to"
ぞくぞく,続々,n-adv,"successively,one after another"
そくたつ,速達,n,"express,special delivery"
そくてい,測定,"n,vs",measurement
そくど,速度,n,"speed,velocity,rate"
そくりょう,測量,"n,vs","measurement,surveying"
そくりょく,速力,n,speed
そこ,そこ,n,"bottom,sole"
そこ,底,n,"bottom,sole"
そこで,,conj,"so (conj),accordingly,now,then,thereupon"
そしき,組織,"n,vs","(1) organization,(2) structure,construction,(3) tissue,(4) system"
そしつ,素質,n,"character,qualities,genius"
そして,,conj,and
そせん,祖先,n,ancestor
そそぐ,注ぐ,v5g,"to pour (into),to irrigate,to pay,to fill,to feed (e.g. a fire)"
そそっかしい,,adj,"careless,thoughtless"
そだつ,育つ,"v5t,vi","to raise (child),to be brought up,to grow (up)"
そだてる,育てる,"v1,vt","to raise,to rear,to bring up"
そちら,,n,"over there,the other"
そっち,,n,"your (that) place,the other"
そつぎょう,卒業,"n,vs",graduation
そっくり,,"adj-na,adv,n","all,altogether,entirely,be just like,the splitting image of"
そっちょく,卒直,"adj-na,n","frankness,candour,openheartedness"
そっと,,n,face of the earth
そで,袖,n,sleeve
そと,外,n,"other place,the rest"
そなえる,備える,v1,"to furnish,to provide for,to equip,to install"
そなえる,具える,v1,to be furnished with
その,その,adj-pn,"the,that"
そのうえ,,conj,"in addition,furthermore"
そのうち,,adv,"eventually,sooner or later,of the previously mentioned"
そのころ,,,
そのため,,,"hence,for that reason"
そのほか,,"conj,n",otherwise
そのまま,,adj-no,"without change,as it is (i.e. now)"
そば,側,n,"side,edge,third person"
そば,蕎麦,n,soba (buckwheat noodles)
そふ,祖父,n,grandfather
ソファー,,n,"sofa,couch"
そぼ,祖母,n,grandmother
そまつ,粗末,"adj-na,n","crude,rough,plain,humble"
そら,空,n,sky
そる,剃る,v5r,to shave
（接。感）,それ,n,"it,that"
それから,,uk,"and then,after that"
それぞれ,,,"each,every,either,respectively,severally"
それで,,uk,"and (conj),thereupon,because of that"
それでは,,exp,"in that situation,well then..."
それでも,,uk,"but (still),and yet,nevertheless,even so,notwithstanding"
それと,,,
それとも,,conj,"or,or else"
それなのに,,,
それなら,,uk,"If that's the case...,If so...,That being the case..."
それに,,uk,"besides,moreover"
それほど,,adv,"to that degree,extent"
それる,逸れる,v1,"to stray (turn) from subject,to get lost,to go astray"
そろう,揃う,v5u,"to become complete,to be equal,to be all present,to gather"
そろえる,揃える,v1,"to put things in order,to arrange,to make uniform,to get something ready"
そろそろ,,n,"gradually,steadily,quietly,slowly,soon"
そろばん,算盤,n,abacus
そん,損,"adj-na,n,n-suf,vs","loss,disadvantage"
そんがい,損害,n,"damage,injury,loss"
そんけい,尊敬,"n,vs","respect,esteem,reverence,honour"
そんざい,存在,"n,vs","existence,being"
ぞんじる,存じる,v1,(hum) to know
ぞんずる,存ずる,,
そんちょう,尊重,n,"respect,esteem,regard"
そんとく,損得,n,"loss and gain,advantage and disadvantage"
そんな,,"adj-na,adj-pn,adv,n","such,like that,that sort of"
そんなに,,,
た,田,n,rice field
たんぼ,田ぼ,n,"paddy field,farm"
た,他,"n-adv,n",other (esp. places and things)
たい,対,n,"pair,couple,set"
だい,大,,
だい,台,"n,n-suf","stand,rack,table,support"
だい,題,"n,vs","title,subject,theme,topic"
だい~,第~,,
~だい,~代,,
たいいく,体育,n,"physical education,gymnastics,athletics"
（副）,だいいち,"adv,n","first,foremost,# 1"
たいいん,退院,"n,vs",leaving hospital
たいおん,体温,n,temperature (body)
たいかい,大会,n,"convention,tournament,mass meeting,rally"
だいがく,大学,n,university
だいがくいん,大学院,n,graduate school
たいき,大気,n,atmosphere
だいきん,代金,n,"price,payment,cost,charge"
だいく,大工,n,carpenter
たいくつ,退屈,"adj-na,n,vs","tedium,boredom"
たいけい,体系,n,"system,organization"
たいこ,太鼓,n,"drum,tambourine"
たいざい,滞在,"n,vs","stay,sojourn"
たいさく,対策,n,"counter-plan,counter-measure"
たいし,大使,n,ambassador
だいじ,大事,"adj-na,n","important,valuable,serious matter"
たいした,大した,adj-pn,"considerable,great,important,significant,a big deal"
たいして,大して,adv,"(not so) much,(not) very"
たいじゅう,体重,n,one's body weight
たいしょう,対象,n,"target,object (of worship, study, etc),subject (of taxation, etc)"
たいしょう,対照,n,"contrast,antithesis,comparison"
だいしょう,大小,n,size
だいじょうぶ,大丈夫,"adj-na,adv,n","safe,all right,O.K."
だいじん,大臣,n,cabinet minister
たいする,対する,vs-s,"to face,to confront,to oppose"
たいせい,体制,n,"order,system,structure,set-up,organization"
たいせき,体積,n,"capacity,volume"
たいせつ,大切,"adj-na,n",important
たいせん,大戦,n,"great war,great battle"
たいそう,大層,"adj-na,adv,n","very much,exaggerated,very fine"
たいそう,体操,"n,vs","gymnastics,physical exercises,calisthenics"
だいたい,大体,"n-adv,n-t","general,substantially,outline,main point"
たいてい,大抵,"adj-na,adv,n","usually,generally"
たいど,態度,n,"attitude,manner"
だいとうりょう,大統領,n,"president,chief executive"
だいどころ,台所,n,kitchen
たいはん,大半,n,"majority,mostly,generally"
だいひょう,代表,"n,vs","representative,representation,delegation,type,example,model"
タイプ,,n,"type,style,typing"
だいぶ,大分,adv,"considerably,greatly,a lot"
だいぶん,大分,adv,"considerably,greatly,a lot"
たいふう,台風,n,typhoon
だいぶぶん,大部分,n-t,"most part,greater part,majority"
タイプライター,,n,typewriter
たいへん,大変,"adj-na,adv,n","awful,dreadful,terrible,very"
たいほ,逮捕,"n,vs","arrest,apprehension,capture"
たいぼく,大木,n,large tree
だいめい,題名,n,title
だいめいし,代名詞,n,pronoun
タイア,,,"tire,tyre"
ダイヤ,,n,"(1) dyer,(2) diagram,(3) (railway) schedule,(4) diamond"
ダイヤグラム,,n,diagram
ダイヤモンド,,n,diamond
ダイヤル,,n,dial
たいよう,太陽,n,"sun,solar"
たいら,平ら,"adj-na,n","flatness,level,smooth,calm,plain"
だいり,代理,n,"representation,agency,proxy,deputy,agent"
たいりく,大陸,n,continent
たいりつ,Ͼ立,n,"confrontation,opposition,antagonism"
たうえ,田植え,n,rice planting
たえず,絶えず,adv,constantly
だえん,楕円,n,ellipse
たおす,倒す,"v5s,vt","to throw down,to beat,to bring down,to blow down"
タオル,,n,(hand) towel
たおれる,倒れる,"v1,vi","to collapse,to break down,to go bankrupt,to fall"
だが,だが,,
たかい,高い,adj,"tall,high,expensive"
たがい,互い,n,"mutual,reciprocal"
たかめる,高める,v1,"to raise,to lift,to boost"
たがやす,耕す,v5s,"to till,to plow,to cultivate"
たから,宝,n,treasure
だから,だから,"conj,n","so,therefore"
たき,滝,n,waterfall
たく,宅,n,"house,home,husband"
たく,炊く,v5k,"to boil,to cook"
たく,焚く,v5k,"to burn,to kindle,to build a fire"
だく,抱く,v5k,"(sl) to embrace,to hug,to harbour,to entertain,`to sleep with'"
たくさん,,"adj-na,adv,n","many,a lot,much"
タクシー,,n,taxi
たくわえる,蓄える,v1,"to store,to lay in stock"
たけ,竹,n,"bamboo,middle (of a three-tier ranking system)"
だけど,,conj,however
（~３年前だった）,たしか,"adj-na,adv,exp,n","certain,sure,definite,if I'm not mistaken,if I remember correctly"
たしか,確か,"adj-na,adv,exp,n","certain,sure,definite,if I remember correctly"
たしかめる,確かめる,v1,to ascertain
たしょう,多少,"adj-no,adv,n","more or less,somewhat,a little,some"
たす,足す,v5s,"to add (numbers),to do (e.g. one's business)"
だす,出す,v5s,"to put out,to send"
~だす,,,
たすかる,助かる,v5r,"to be saved,to be rescued,to survive,to be helpful"
たすける,助ける,v1,"to help,to save,to rescue"
たずねる,訪ねる,v1,to visit
たずねる,尋ねる,v1,"to ask,to enquire"
ただ,,"adj-pn,adv,conj","free of charge,mere,only"
ただ,只,"adj-pn,adv,conj","free of charge,mere,sole,only,usual,common"
ただ,唯,"adj-pn,adv,conj","free of charge,mere,sole,only,usual,common"
ただいま,,"adv,int,n","Here I am,I'm home!"
たたかい,戦い,n,"battle,fight,struggle,conflict"
たたかう,戦う,v5u,"to fight,to battle,to combat"
たたく,叩く,v5k,"to strike,to clap,to dust,to beat"
ただし,但し,conj,"but,however,provided that"
ただしい,正しい,adj,"right,just,correct"
ただちに,直ちに,adv,"at once,immediately,directly,in person"
たたみ,畳,n,tatami mat (Japanese straw floor coverings)
たたむ,畳む,v5m,to fold (clothes)
~たち,,,
たちあがる,立ち上がる,v5r,to stand up
たちどまる,立ち止まる,v5r,"to stop,to halt,to stand still"
たちば,立場,n,"standpoint,position,situation"
たちまち,,adv,"at once,in a moment,suddenly,all at once"
たつ,立つ,v5t,to stand
たつ,建つ,v5t,"to erect,to be erected,to be built"
たつ,発つ,v5t,"to depart (on a plane, train, etc.)"
たつ,経つ,v5t,"to pass,to lapse"
たっする,達する,vs-s,"to reach,to get to"
だっせん,脱線,"n,vs","derailment,digression"
たった,唯,"adj-pn,adv,conj","free of charge,mere,sole,only,usual,common"
だって,,conj,"but,because,even,also,too"
たっぷり,,"adj-na,adv,n","full,in plenty,ample"
たて,縦,n,"length,height"
たてもの,建物,n,building
たてる,立てる,v1,"to stand (something) up,to erect (something)"
たてる,建てる,v1,"to build,to construct"
だとう,妥当,"adj-na,n","valid,proper,right,appropriate"
たとえ,,n,"simile,metaphor,allegory"
たとえば,例えば,adv,"for example,e.g."
たとえる,例える,v1,"to compare,to liken,to speak figuratively,to illustrate,to use a simile"
たな,棚,n,"shelves,rack"
たに,谷,n,valley
たにん,他人,n,"another person,unrelated person,outsider,stranger"
たね,種,n,"(1) seed,(2) material,(3) cause,source"
たのしい,楽しい,adj,"enjoyable,fun"
たのしみ,楽しみ,"adj-na,n","enjoyment,pleasure"
たのしむ,楽む,,
たのむ,頼む,v5m,"to request,to beg,to ask"
たのもしい,頼もしい,adj,"reliable,trustworthy,hopeful,promising"
たば,束,n,"handbreadth,bundle"
たばこ,,n,"tobacco (pt: tabaco),cigarettes"
たび,足袋,n,"tabi,Japanese socks (with split toe)"
たび,度,"n,n-suf",counter for occurrences
たび,旅,"n,vs","travel,trip,journey"
たびたび,,adv,"often,repeatedly,frequently"
ダブル,,n,double
たぶん,多分,"adv,n","perhaps,probably"
たべる,食べる,v1,to eat
たま,玉,"n,n-suf","ball,sphere,coin"
たま,球,n,"globe,sphere,ball"
たま,弾,n,"bullet,shot,shell"
たま,偶,"adj-no,n","even number,couple,man and wife,friend"
たまご,卵,n,"(1) egg(s),spawn,roe,(2) (an expert) in the making"
だます,,v5s,"to trick,to cheat,to deceive"
たまたま,偶々,adv,"casually,unexpectedly,accidentally,by chance"
たまに,,"adv,suf","occasionally,once in a while"
たまらない,,"adj,exp","intolerable,unbearable,unendurable"
たまる,溜まる,v5r,"to collect,to gather,to save"
だまる,黙る,v5r,to be silent
ダム,,n,dumb
ため,為,n,"good,advantage,benefit,welfare"
だめ,駄目,"adj-na,n","useless,no good,hopeless"
ためいき,溜息,n,a sigh
ためし,試し,n,"trial,test"
ためす,試す,v5s,"to attempt,to test"
ためらう,,v5u,to hesitate
ためる,溜める,v1,"to amass,to accumulate"
たより,便り,n,"news,tidings,information,correspondence,letter"
たよる,頼る,v5r,"to rely on,to have recourse to,to depend on"
~だらけ,,,
だらしない,,adj,"slovenly,loose,a slut"
たりる,足りる,v1,"to be sufficient,to be enough"
たる,足る,v5r,"to be sufficient,to be enough"
だれ,誰,n,who
だれか,誰か,n,"someone,somebody"
たん~,短~,,
だん,段,n,"step,stair,flight of steps,grade,rank,level"
~だん,~団,,
たんい,単位,n,"unit,denomination,credit (in school)"
だんかい,段階,n,"gradation,grade,stage"
たんき,短期,n,short term
たんご,単語,n,"word,vocabulary,(usually) single-character word"
たんこう,炭鉱,n,"coal mine,coal pit"
だんし,男子,n,"youth,young man"
たんじゅん,単純,"adj-na,n",simplicity
たんしょ,短所,n,"(1) defect,demerit,weak point,(2) disadvantage"
たんじょう,誕生,"n,vs",birth
たんす,,n,chest of drawers
ダンス,,"n,vs",dance
たんすい,淡水,n,fresh water
だんすい,断水,n,water outage
たんすう,単数,n,singular (number)
だんせい,男性,n,"male,man"
だんたい,団体,n,"organization,association"
だんだん,,"adv,n","gradually,by degrees"
だんち,団地,n,multi-unit apartments
だんてい,断定,"n,vs","conclusion,decision"
たんとう,担当,"n,vs",(in) charge
たんなる,単なる,adj-pn,"mere,simple,sheer"
たんに,単に,"adv,n","simply,merely,only,solely"
たんぺん,短編,n,"short (e.g. story, film)"
だんぼう,暖房,n,heating
ち,血,n,"blood,consanguinity"
ち,地,"n,n-suf",earth
ちい,地位,n,"(social) position,status"
ちいき,地域,n,"area,region"
ちいさい,小さい,adj,"small,little,tiny"
チーズ,,n,cheese
チーム,,n,team
ちえ,知恵,n,"wisdom,wit,sagacity,sense,intelligence,advice"
ちか,地下,n,"basement,underground"
ちかい,近い,"adj,suf","near,close by,short"
ちがい,違い,"n,n-suf","difference,discrepancy"
ちがいない,違いない,"adj,exp","(phrase) sure,no mistaking it,for certain"
ちかう,誓う,v5u,"to swear,to vow,to take an oath,to pledge"
ちがう,違う,v5u,to differ (from)
ちかく,近く,"n-adv,n","near,neighbourhood,vicinity"
ちかごろ,近頃,"n-adv,n-t","lately,recently,nowadays"
ちかすい,地下水,n,underground water
ちかぢか,近々,adv,"nearness,before long"
ちかづける,近付ける,v1,"to bring near,to put close,to let come near,to associate with"
ちかてつ,地下鉄,n,"underground train,subway"
ちかよる,近寄る,v5r,"to approach,to draw near"
ちから,力,n-suf,"strength,power"
ちからづよい,力強い,adj,"reassuring,emboldened"
ちきゅう,地球,"adj-no,n",the earth
ちぎる,,v5r,"to cut up fine,to pick (fruit)"
ちく,地区,n,"district,section,sector"
ちこく,遅刻,"n,vs","lateness,late coming"
ちじ,知事,n,prefectural governor
ちしき,知識,n,"knowledge,information"
ちしつ,地質,n,geological features
ちじん,知人,n,"friend,acquaintance"
ちず,地図,n,map
ちたい,地帯,n,"area,zone"
ちち,父,n,(hum) father
ちちおや,父親,n,father
ちぢむ,縮む,v5m,"to shrink,to be contracted"
ちぢめる,縮める,v1,"to shorten,to reduce,to boil down,to shrink"
ちぢれる,縮れる,v1,"to be wavy,to be curled"
ちっとも,,adv,not at all (neg. verb)
チップ,,n,"(1) gratuity,tip,(2) chip"
ちてん,地点,n,"site,point on a map"
ちのう,知能,n,"intelligence,brains"
ちへいせん,地平線,n,horizon
ちほう,地方,n,"area,locality,district,region,the coast"
ちめい,地名,n,place name
ちゃ,茶,n,tea
ちゃいろ,茶色,n,"light brown,tawny"
ちゃいろい,茶色い,,
~ちゃく,~着,,counter for suits of clothing
ちゃくちゃく,着々,adv,steadily
ちゃわん,茶碗,n,"rice bowl,tea cup,teacup"
~ちゃん,,,
チャンス,,n,"chance,opportunity"
ちゃんと,,"adv,n","perfectly,properly,exactly"
ちゅう,中,n,"inside,middle,among"
ちゅう,注,"n,vs","annotation,explanatory note"
~ちゅう,~中,,
~じゅう,~中,,
ちゅうい,注意,"n,vs","caution,being careful,attention (heed),warning,advice"
ちゅうおう,中央,n,"centre,central,center,middle"
ちゅうがく,中学,n,"middle school,junior high school"
ちゅうかん,中間,"n-adv,n","middle,midway,interim"
ちゅうこ,中古,n-t,"(1) used,second-hand,old"
ちゅうし,中止,"n,vs","suspension,stoppage,discontinuance,interruption"
ちゅうしゃ,注射,"n,vs",injection
ちゅうしゃ,駐車,n,parking (e.g. car)
ちゅうじゅん,中旬,"n-adv,n-t",second third of a month
ちゅうしょう,抽象,"adj-na,n",abstract
ちゅうしょく,昼食,n,"lunch,midday meal"
ちゅうしん,中心,n,"center,core,heart,pivot,emphasis,balance"
ちゅうせい,中世,"n-adv,n-t","Middle Ages,mediaeval times"
ちゅうせい,中性,n,"neuter gender,neutral (chem.),indifference,sterility"
ちゅうと,中途,n,"in the middle,half-way"
ちゅうねん,中年,n,middle-aged
ちゅうもく,注目,"n,vs","notice,attention,observation"
ちゅうもん,注文,"n,vs","order,request"
ちょう~,長~,,
~ちょう,~庁,,
~ちょう,~兆,,
~ちょう,~町,,
~ちょう,~長,,
~ちょう,~帳,,
ちょうか,超過,"n,vs","excess,being more than"
ちょうき,長期,"n-adv,n-t",long time period
ちょうこく,彫刻,n,"carving,engraving,sculpture"
ちょうさ,調査,"n,vs","investigation,examination,inquiry,survey"
ちょうし,調子,n,"tune,tone,key"
ちょうしょ,長所,n,"(1) strong point,merit,(2) advantage"
ちょうじょ,長女,n,eldest daughter
ちょうじょう,頂上,n,"top,summit,peak"
ちょうせい,調整,"n,vs","regulation,adjustment,tuning"
ちょうせつ,調節,"n,vs","regulation,adjustment,control"
ちょうだい,,"int,vs","(1) please do for me (preceded by -te),(2) reception,being given,get"
ちょうたん,長短,n,"length,long and short,+-"
ちょうてん,頂点,n,"top,summit"
ちょうど,,n,"supplies,furniture,fixtures"
ちょうなん,長男,n,eldest son
ちょうほうけい,長方形,n,"rectangle,oblong"
ちょうみりょう,調味料,n,"condiment,seasoning"
~ちょうめ,~丁目,,
チョーク,,n,"chock,chalk"
ちょきん,貯金,"n,vs",(bank) savings
ちょくご,直後,"n-adv,n-t",immediately following
ちょくせつ,直接,"adj-na,n-adv","direct,immediate,personal,firsthand"
ちょくせん,直線,n,straight line
ちょくぜん,直前,"n-adv,n-t",just before
ちょくつう,直通,n,direct communication
ちょくりゅう,直流,n,direct current
ちょしゃ,著者,n,"author,writer"
ちょぞう,貯蔵,n,"storage,preservation"
ちょっかく,直角,n,right angle
ちょっけい,直径,n,diameter
ちょっと,,"adv,int","just a minute,a short time,a while,just a little"
ちらかす,散らかす,v5s,"to scatter around,to leave untidy"
ちらかる,散らかる,v5r,"to be in disorder,to lie scattered around"
ちらす,散らす,v5s,"to scatter,to disperse,to distribute"
ちり,地理,n,geography
ちりがみ,塵紙,n,"tissue paper,toilet paper"
ちる,散る,v5r,"to fall,to scatter (e.g. blossoms)"
ついに,遂に,adv,"finally,at last"
ついか,追加,"n,vs","addition,supplement,appendix"
ついたち,一日,n,(1) first of month
~ついて,,,
ついで,,n,"opportunity,occasion"
~つう,~通,,
つうか,通過,"n,vs","passage through,passing"
つうか,通貨,n,currency
つうがく,通学,n,commuting to school
つうきん,通勤,"n,vs",commuting to work
つうこう,通行,"n,vs","passage,passing"
つうじる,通じる,v1,"to run to,to lead to,to communicate,to understand"
つうずる,通ずる,,
つうしん,通信,"n,vs","correspondence,communication,news,signal"
つうち,通知,"n,vs","notice,notification"
つうちょう,通帳,n,passbook
つうやく,通訳,"n,vs",interpretation
つうよう,通用,"n,vs","popular use,circulation"
つうろ,通路,n,"passage,pathway"
~づかい,~遣い,,
つかう,使う,v5u,"to use,to handle,to manipulate,to employ"
つかまえる,捕まえる,v1,"to catch,to arrest,to seize"
つかまる,捕まる,v5r,"to be caught,to be arrested"
つかむ,掴む,v5m,"to seize,to catch,to grasp"
つかれ,疲れ,n,"tiredness,fatigue"
つかれる,疲れる,v1,"to get tired,to tire"
つき,月,n-t,"moon,month"
つき,月,n-t,"moon,month"
~つき,~付,,
つぎ,次,n,"next,stage station,stage,subsequent"
つきあい,付き合い,n,"association,socializing,fellowship"
つきあう,付合う,v5u,"to associate with,to keep company with,to get on with"
つきあたり,突き当たり,n,end (e.g. of street)
つきあたる,突き当たる,v5r,"to run into,to collide with"
つぎつぎ,次々,"adv,n","in succession,one by one"
つきひ,月日,n,"time,years,days"
つく,付く,"v5k,vi","to adjoin,to be attached,to adhere"
つく,着く,v5k,"to arrive at,to reach"
つく,就く,v5k,"to settle in (place),to take (seat, position),to study (under teacher)"
つく,点く,v5k,"to catch fire,(electricity) comes on"
つく,突く,v5k,"(1) to thrust,to strike,(2) to poke"
つぐ,次ぐ,v5g,"to rank next to,to come after"
つぐ,注ぐ,v5g,"to pour (into),to irrigate,to pay"
つくえ,机,n,desk
つくる,作る/造る,v5r,"to make,to create"
つける,付ける,"v1,vt","to attach,to join,to add,to append"
つける,着ける,"v1,vt","(1) to attach,to join,to add,to append"
つける,点ける,v1,"to turn on,to switch on,to light up"
つける,浸ける,v1,"to dip in,to soak"
つける,漬ける,v1,"to soak,to moisten,to pickle"
つごう,都合,"adv,n","circumstances,condition,convenience"
つたえる,伝える,v1,"to convey,to report,to transmit,to communicate"
つたわる,伝わる,v5r,"to be handed down,to be introduced,to be transmitted"
つち,土,n,"earth,soil"
つづき,続き,"n,n-suf","sequel,continuation"
つづく,続く,"v5k,vi",to be continued
~つづく,~続く,,
つづける,続ける,"v1,vt","to continue,to keep up,to keep on"
~つづける,~続ける,,
つっこむ,突っ込む,v5m,"to plunge into,to go into deeply"
つつみ,包み,n,"bundle,package,parcel,bale"
つつむ,包む,v5m,"to be engulfed in,to be enveloped by,to wrap up"
つとめ,勤め,n,"(1) service,duty,business,responsibility,task,(2) Buddhist religious services"
つとめ,務め,n,"(1) service,duty,(2) Buddhist religious services"
つとめる,勤める,v1,"to serve,to fill a post,to serve under,to work (for)"
つとめる,務める,v1,"(1) to serve,to fill a post,to serve under,to work (for)"
つとめる,努める,v1,"(1) to serve,to fill a post,to serve under,to work (for)"
つな,綱,n,rope
つながり,繋がり,n,"connection,link,relationship"
つながる,繋がる,v5r,"to be tied together,to be connected to,to be related to"
つなぐ,繋ぐ,v5g,"to tie,to fasten,to connect,to transfer (phone call)"
つなげる,繋げる,v1,to connect
つねに,常に,adv,"always,constantly"
つばさ,翼,n,wings
つぶ,粒,"n,n-suf",grain
つぶす,潰す,v5s,"to smash,to waste"
つぶれる,潰れる,v1,"to be smashed,to go bankrupt"
つま,妻,n,(hum) wife
つまずく,,v5k,"to stumble,to trip"
つまらない,,adj,"insignificant,boring,trifling"
つまり,,"adv,n","in short,in brief,in other words"
つまる,詰まる,v5r,"to be blocked,to be packed"
つみ,罪,"adj-na,n","crime,fault,indiscretion"
つむ,積む,v5m,"to pile up,to stack"
